Title,location,exhibits,headline,address,city,state,zip_code,subject,date,approx_date_built,approx_date_demolished,architect,filename,format,objectid,rights,location,latitude,longitude,status
Universal Negro Improvement Association (UNIA),North,,,1609-11 Cecil B. Moore Ave.,Philadelphia,PA,19121,,1894,1894,,Thomas Lonsdale,,,dream066,,"1609-11 Cecil B Moore Ave, Philadelphia, PA, USA",39.979375,-75.161489,success
Girard College,North,,,2101 S. College Ave.,Philadelphia,PA,19121,school,1833; 1968,1833; 1968,,Thomas Ustick Walter,https://media.phillyvoice.com/media/images/01-083115_GirardCollege_Carroll.2e16d0ba.fill-735x490.jpg,image/jpeg,dream067,,"South College Avenue, Philadelphia, PA, USA",39.972627,-75.173802,doubt
Union A.M.E. Church / Hedding M. E. Church / Calvary Baptist Church,North,,,655 N. 16th St.,Philadelphia,PA,19130,church,"1859; 1902; 1906, ","1859; 1902; 1906, ",,Watson & Huckel; C. Davis,,,dream068,,"655-59 N 16th St, Philadelphia, PA, USA",39.966666,-75.163569,success
Unity Mission / Charles T. Ellis House,North,,,1430 N. Broad St.,Philadelphia,PA,19121,dwelling,1891,1891,,William Decker,,,dream069,,"1430 N Broad St, Philadelphia, PA, USA",39.975493,-75.15912,success
Metropolitan Opera House,North,,,848-860 N. Broad St.,Philadelphia,PA,19130,opera house; church,1908,1908,,William McElfatrick,,,dream070,,"North Broad Street, Philadelphia, PA, USA",40.010581,-75.150898,doubt
Shibe Park / Connie Mack Stadium,North,,,2701 N. 21st St.,Philadelphia,PA,19132,stadium,1908-1909,1908-1909,1976,William Steele & Sons Co.,,,dream071,,"North 21st Street, Philadelphia, PA, USA",39.983256,-75.168608,doubt
Divine Lorraine Hotel,North,,,699 N. Broad St.,Philadelphia,PA,19123,hotel; apartment building,1894,1894,,Willis G. Hale,,,dream072,,"699 N Broad St, Philadelphia, PA, USA",39.966699,-75.160017,success
Bethany A.M.E. Church,Northeast,,,8820 Ashton Rd.,Philadelphia,PA,19136,church,1825,1825,,Elias Chase,,,dream073,,"8820 Ashton Rd, Philadelphia, PA, USA",40.058183,-75.027363,success
Germantown Historical Society / Fromberger House,Northwest,,,5501-5505 Germantown Ave.,Philadelphia,PA,19144,dwelling; young women's christian association; church; office building,"1795; 1796; 1917; 1930; 1952, ","1795; 1796; 1917; 1930; 1952, ",,G. Edwin,https://www.preservationalliance.com/images/aia/5501Germantown.jpg,image/jpeg,dream074,Preservation Alliance for Greater Philadelphia,"Germantown Avenue, Philadelphia, PA, USA",39.973054,-75.141599,doubt
Northern Home for Children,Northwest,,,5301 Ridge Ave.,Philadelphia,PA,19128,,1927,1927,,Horace Trumbauer; Julian Abele,,,dream075,,"5301 Ridge Ave, Philadelphia, PA, USA",40.021044,-75.208578,success
Grace Baptist Church Building #1,Northwest,,,34-36 E. Sharpnack St.,Philadelphia,PA,19119,church,1908,1908,,Jacob Naschold,https://www.preservationalliance.com/images/aia/34-6ESharpnack.jpg,image/jpeg,dream076,Preservation Alliance for Greater Philadelphia,"34-36 E Sharpnack St, Philadelphia, PA, USA",40.049813,-75.183061,success
Coulter Street School site / Daniel L. Keyser School / Wissahickon Boys and Girls Club,Northwest,,,328 W. Coulter St.,Philadelphia,PA,19144,school,"1887-1899, ","1887-1899, ",,Joseph Anshutz,https://www.preservationalliance.com/images/aia/328WCoulter.jpg,image/jpeg,dream077,Preservation Alliance for Greater Philadelphia,"328 W Coulter St, Philadelphia, PA, USA",40.026712,-75.176742,success
Galilee Baptist Church Building,Northwest,,,457 Roxborough Ave.,Philadelphia,PA,19128,church,1900,1900,,Kennedy & Kelsey,,,dream078,,"457 Roxborough Ave, Philadelphia, PA, USA",40.028745,-75.213417,success
Thomas Meehan Public School,Northwest,,,5347-5353 Pulaski Ave.,Philadelphia,PA,19144,school,1901,1901,,Lloyd Titus,https://www.preservationalliance.com/images/aia/5347Pulaski.jpg,image/jpeg,dream079,Preservation Alliance for Greater Philadelphia,"Pulaski Avenue, Philadelphia, PA, USA",40.032722,-75.182942,doubt
Grace Baptist Church Building #2,Northwest,,,25 W. Johnson St.,Philadelphia,PA,19144,church,1960,1960,,Mansell McGettigan & Fugate,https://www.preservationalliance.com/images/aia/25WJohnson.jpg,image/jpeg,dream080,Preservation Alliance for Greater Philadelphia,"West Johnson Street, Philadelphia, PA, USA",40.037799,-75.190539,doubt
Canaan Baptist Church Building / West Side Presbyterian Church Building,Northwest,,,5430 Pulaski Ave.,Philadelphia,PA,19144,church,1891,1891,,Mantle Fielding,https://www.preservationalliance.com/images/aia/5430Pulaski.jpg,image/jpeg,dream081,Preservation Alliance for Greater Philadelphia,"5430 Pulaski Avenue, Philadelphia, PA, USA",40.028438,-75.177459,success
Janes Methodist Church Building,Northwest,,,528 E. Haines St.,Philadelphia,PA,19144,church,1898; 1911,1898; 1911,,Rankin and Kellogg,https://www.preservationalliance.com/images/aia/528EHaines.jpg,image/jpeg,dream082,Preservation Alliance for Greater Philadelphia,"528 E Haines St, Philadelphia, PA, USA",40.04493,-75.169789,success
Germantown YMCA,Northwest,,,5722 Greene St.,Philadelphia,PA,19144,young men's Christian association,1928,1928,,Thomas Martin & Kirkpatrick,https://www.preservationalliance.com/images/aia/5722Greene.jpg,image/jpeg,dream083,Preservation Alliance for Greater Philadelphia,"5722-28 Greene St, Philadelphia, PA, USA",40.034007,-75.177817,success
Bethel A.M.E. Church (Germantown) Building #2 / Rialto Theater Building / Tulpehocken Theater Building,Northwest,,,6153 Germantown Ave.,Philadelphia,PA,19144,church,1914; 1936; 1976,1914; 1936; 1976,,William H. Lee,https://www.preservationalliance.com/images/aia/6153Germantown.jpg,image/jpeg,dream084,Preservation Alliance for Greater Philadelphia,"6153 Germantown Avenue, Philadelphia, PA, USA",40.042148,-75.179724,success
Bainbridge Club / Hotel Brotherhood USA,South,,,1523-1529 Bainbridge St.,Philadelphia,PA,19146,clubhouse,1919,1919,,A. Borzner,,,dream085,,"Bainbridge Street, Philadelphia, PA, USA",39.942257,-75.161512,doubt
Gloria Dei Church / Old Swedes' Episcopal Church,South,,,916 S. Swanson St.,Philadelphia,PA,19147,church,"1677-1698; 1703-1705; 1733; 1845; 1896, ","1677-1698; 1703-1705, 1733; 1845; 1896, ",,Andrew Rudman,,,dream086,,"South Swanson Street, Philadelphia, PA, USA",39.916921,-75.146962,doubt
Elks Lodge,South,,,739-43 S. 16th St.,Philadelphia,PA,19146,,1928,1928,,C. Adams,,,dream087,,"739-43 S 16th St, Philadelphia, PA, USA",39.942034,-75.168896,success
Union Baptist Church Building #2,South,,,1910 Fitzwater St.,Philadelphia,PA,19146,church,1913; 1926,1913; 1926,,Charles Bolton & Son,,,dream088,,"1910 Fitzwater Street, Philadelphia, PA, USA",39.942723,-75.174563,success
St. Charles Borromeo Church,South,,,1941 Christian St.,Philadelphia,PA,19146,church,1876,1876,,Edwin Forrest Durang,https://www.preservationalliance.com/images/aia/1941ChristianSt.jpg,image/jpeg,dream089,Preservation Alliance for Greater Philadelphia,"1941 Christian Street, Philadelphia, PA, USA",39.941299,-75.175457,success
Holy Trinity Baptist Church,South,,,1818-1824 Bainbridge St.,Philadelphia,PA,19146,church,1900,1900,,Edwin Gilbert of Gilbert & Reid,,,dream090,,"Bainbridge Street, Philadelphia, PA, USA",39.942257,-75.161512,doubt
YWCA - Southwest-Belmont Branch,South,1800s,1800s,1607-15 Catharine St.,Philadelphia,PA,19146,young women's Christian association,1922,1922,,Erskine; Morris,,,dream091,,"Catharine Street, Philadelphia, PA, USA",39.936955,-75.142769,doubt
Shiloh Baptist Church #3 / Church of the Holy Apostles,South,,,2040 Christian St.,Philadelphia,PA,19146,church,1868-1870; 1890,1868-1870; 1890,,"Fraser, Furness & Hewitt; George W. Hewitt",https://www.preservationalliance.com/images/aia/2040ChristianSt.jpg,image/jpeg,dream092,Preservation Alliance for Greater Philadelphia,"2040 Christian St, Philadelphia, PA, USA",39.941156,-75.17749,success
Harrison Day Nursery,South,,,1839-1843 Ellsworth St.,Philadelphia,PA,19146,day care,1898,1898,,"Furness, Evans and Co.",,,dream093,,"Ellsworth Street, Philadelphia, PA, USA",39.934313,-75.152832,doubt
Zion A.M.E. Church,South,,,1600 S. 21st St.,Philadelphia,PA,19145,church,1925-1928,1925-1928,,George E. Savage,,,dream094,,"1600-06 S 21st St, Philadelphia, PA, USA",39.931847,-75.180092,success
St. Martha's House / Houston Community Center,South,,,2029 S. 8th St.,Philadelphia,PA,19148,settlement house,1914,1914,,Hastings Brockie,,,dream095,,"2029 S. 8th St., Philadelphia, PA, 19148",failed,failed,failed
St. Mary Chapel Building,South,,,1831-1835 Bainbridge St.,Philadelphia,PA,19146,church,1897,1897,,Hazlehurst & Huckel,,,dream096,,"Philadelphia, PA, USA",39.990821,-75.168428,doubt
Varick Memorial Church Site,South,,,763 S. 19th St.,Philadelphia,PA,19146,church,1889,1889,,Hazlehurst & Huckel,,,dream097,,"763 S 19th St, Philadelphia, PA, USA",39.942029,-75.173852,success
Friendship Baptist Church / 18th Street Baptist Church / 18th Street Methodist Episcopal Church,South,,,1730 Wharton St.,Philadelphia,PA,19146,church,1885-1888,1885-1888,,J. Franklin Stuckert,,,dream098,,"1730 Wharton St, Philadelphia, PA, USA",39.934777,-75.173805,success
Church of the Crucifixion Building and Parish House,South,,,620 S. 8th St.,Philadelphia,PA,19147,church,1883; 1902,1883; 1902,,Pursell & Fry; Isaac Pursell and Duhring; Okie & Ziegler,https://www.preservationalliance.com/images/aia/620S8thSt.jpg,image/jpeg,dream099,Preservation Alliance for Greater Philadelphia,"South 8th Street, Philadelphia, PA, USA",39.932037,-75.157756,doubt
Tasker Street Baptist Church / Metropolitan Baptist Church,South,,,2010 Tasker St.,Philadelphia,PA,19145,church,"1900; 1928; 1940, ","1900; 1928; 1940, ",,S. Bythewood; Richard R. Neely,,,dream100,,"Tasker Street, Philadelphia, PA, USA",39.930982,-75.172246,doubt
First African Presbyterian Church / Tabor Chapel / St. Paul's German Reform Church / First Colored Wesley Methodist Church,South,,,1642 Fitzwater St.,Philadelphia,PA,19146,church,1857,1857,,Samuel Sloan,https://www.preservationalliance.com/images/aia/1642FitzwaterSt.jpg,image/jpeg,dream101,Preservation Alliance for Greater Philadelphia,"1642 Fitzwater St, Philadelphia, PA, USA",39.942237,-75.170639,success
Union Baptist Building #1 / New Hope Temple Baptist Church,South,,,711-715 S. 12th St.,Philadelphia,PA,19147,church,1893,1893,,Thomas Bennett,https://www.preservationalliance.com/images/aia/711-15S12thStb.jpg,image/jpeg,dream102,Preservation Alliance for Greater Philadelphia,"Philadelphia, PA, USA",39.990821,-75.168428,doubt
Moyamensing Prison,South,,,10th and Reed Sts.,Philadelphia,PA,19147,prison,1832-1835; 1968,1832-1835; 1968,,Thomas Ustick Walter,,,dream103,,"Philadelphia, PA, USA",39.990821,-75.168428,doubt
St. Simon the Cyrenian Church and Rectory,South,,,1401 S. 22nd St.,Philadelphia,PA,19146,church,1905; 1913-1914,1905; 1913-1914,,"Thomas, Churchman & Molitor",,,dream104,,"1401-11 S 22nd St, Philadelphia, PA, USA",39.934379,-75.180644,success
First Penny Savings and Loan,South,,,2052 Bainbridge St.,Philadelphia,PA,19146,bank,1914,1914,,W. Haddock,,,dream105,,"Bainbridge Street, Philadelphia, PA, USA",39.942257,-75.161512,doubt
First African Baptist Church Building,South,,,1600-1606 Christian St.,Philadelphia,PA,19146,church,1904,1904,,Watson & Huckel,,,dream106,,"Christian Street, Philadelphia, PA, USA",39.939942,-75.165555,doubt
Shiloh Baptist Church #1 / Murray Chapel / Mount Olive A.M.E. Church / Waters Memorial A.M.E. Church,South,,,609 S. Clifton St.,Philadelphia,PA,19147,church,1840; 1895; 1921; 1953,1840; 1895; 1921; 1953,,Wilson Brothers; C. Wilson,https://www.preservationalliance.com/images/aia/609SCliftonSt.jpg,image/jpeg,dream107,Preservation Alliance for Greater Philadelphia,"609 S. Clifton St., Philadelphia, PA, 19147",failed,failed,failed
Dutrieuille Catering Site #2,West,,,4001 Spring Garden St.,Philadelphia,PA,19104,caterer,1888,1888,,A. Wade,,,dream108,,"Spring Garden Street, Philadelphia, PA, USA",39.961711,-75.154512,doubt
First African Presbyterian Church / Emmanuel Presbyterian Church,West,,,4159 W. Girard Ave.,Philadelphia,PA,19104,church,1912,1912,,Charles Bolton & Son,,,dream109,,"4159 W Girard Ave, Philadelphia, PA, USA",39.973946,-75.209674,success
St. Matthew Church Building,West,,,215 N. 57th St.,Philadelphia,PA,19139,church,1940,1940,,Charles Bolton & Son,,,dream110,,"215-23 N 57th St, Philadelphia, PA, USA",39.964697,-75.233722,success
Bethel Baptist Church,West,,,4033-4037 Haverford Ave.,Philadelphia,PA,19104,church,1924,1924,,Clarence Caspary,,,dream111,,"Haverford Avenue, Philadelphia, PA, USA",39.968301,-75.23486,doubt
Franklin Field,West,,,33rd and Spruce Streets,Philadelphia,PA,19104,stadium,1922,1922,,Day & Klauder,,,dream112,,"Philadelphia, PA, USA",39.990821,-75.168428,doubt
St. Monica Mission Church Site,West,,,4206 Woodland Ave.,Philadelphia,PA,19104,church,1914-1916,1914-1916,,"Duhring, Okie and Ziegler",,,dream113,,"Woodland Avenue, Philadelphia, PA, USA",39.949464,-75.199983,doubt
Paul Leroy Robeson House,West,,,4951 Walnut St.,Philadelphia,PA,19139,dwelling,1911; 1959,1911; 1959,,E.A. Wilson,,,dream114,,"4951 Walnut St, Philadelphia, PA, USA",39.956688,-75.221373,success
African Episcopal Church of St. Thomas Site #3,West,,,6361 Lancaster Ave.,Philadelphia,PA,19151,church,1899; 1905,1899; 1905,,Frederick Mann; Baily & Bassett,,,dream115,,"6361 Lancaster Avenue, Philadelphia, PA, USA",39.987312,-75.251068,success
Allen A.M.E. Church Building #3 / Fourth Reformed Presbyterian Church Building,West,,,5901 Larchwood Ave.,Philadelphia,PA,19143,church,1917,1917,,George D. Savage,,,dream116,,"5901 Larchwood Ave, Philadelphia, PA, USA",39.954,-75.240659,success
Mount Pisgah A.M.E. Church / Centenary Methodist Church,West,,,428 N. 41st St.,Philadelphia,PA,19104,church,1860-1880; 1901; 1913; 1944,1860-1880; 1901; 1913; 1944,1944, H. King; James Fernald,,,dream117,,"North 41st Street, Philadelphia, PA, USA",39.976197,-75.206385,doubt
Mount Carmel Baptist Church,West,,,5732 Race St.,Philadelphia,PA,19139,church,1915; 1938,1915; 1938,,Henry DeHoff; Charles Bolton & Sons,,,dream118,,"Race Street, Philadelphia, PA, USA",39.953765,-75.141726,doubt
Clanerda Presbyterian Church,West,,,34th and Girard Sts.,Philadelphia,PA,19104,church,1912,1912,,Horace Trumbauer; Julian Abele,,,dream119,,"Philadelphia, PA, USA",39.990821,-75.168428,doubt
Irvine Auditorium (University of Pennsylvania),West,,,3401 Spruce St.,Philadelphia,PA,19104,auditorium,1928,1928,,Horace Trumbauer; Julian Abele,,,dream120,,"3401 Spruce Street, Philadelphia, PA, USA",39.950877,-75.19301,success
Otto Eisenlohr House / President's House (University of Pennsylvania),West,,,3812 Walnut St.,Philadelphia,PA,19104,dwelling,1905,1905,,Horace Trumbauer; Julian Abele,,,dream121,,"Philadelphia, PA, USA",39.990821,-75.168428,doubt
Zoological Society Building,West,,,34th and Girard Sts.,Philadelphia,PA,19104,,1912,1912,,Horace Trumbauer;Julian Abele,,,dream122,,"Philadelphia, PA, USA",39.990821,-75.168428,doubt
Stephen Smith Home for the Aged and Infirmed,West,,,4400 W. Girard Ave.,Philadelphia,PA,19104,retirement home,1883,1883,,Hutton; Addison,,,dream123,,"4400 W Girard Ave, Philadelphia, PA, USA",39.972816,-75.212586,success
Overbrook High School (Wilt Chamberlain),West,,,5898 Lancaster Ave.,Philadelphia,PA,19131,school,1924,1924,,Irwin T. Catherine,,,dream124,,"Lancaster Avenue, Philadelphia, PA, USA",39.974485,-75.220917,doubt
Star of Hope Baptist Church,West,,,443 N. 60th St.,Philadelphia,PA,19151,church,1962,1962,,James Plater,,,dream125,,"443 N 60th St, Philadelphia, PA, USA",39.969076,-75.239025,success
Tyree A.M.E. Church / 10th United Presbyterian Church,West,,,3800 Hamilton St.,Philadelphia,PA,19104,church,1886,1886,,Lawrence Valk,,,dream126,,"3800-04 Hamilton St, Philadelphia, PA, USA",39.961293,-75.19721,success
Pinn Memorial Baptist Church / Har Zion Synagogue,West,,,2251 N. 54th St.,Philadelphia,PA,19131,church,1922-1924; 1940-1957,1922-1924; 1940-1957,,Leroy Rothschild; Silverman & Levey,,,dream127,,"Philadelphia, PA, USA",39.990821,-75.168428,doubt
Lombard Central Presbyterian Church Building #2 / Friends Meeting House,West,,,4201 Powelton Ave.,Philadelphia,PA,19104,church,1875; 1903,1875;1903,,Morris & Vaux,,,dream128,,"4201 Powelton Avenue, Philadelphia, PA, USA",39.959156,-75.206639,success
Tyree A.M.E. Church (?) / Williams Chapel / Metropolitan Baptist Church / First United Baptist Church,West,,,3728-3730 Haverford Ave.,Philadelphia,PA,19104,church,1922; 1937,1922;1937,,Richard Neely,,,dream129,,"Haverford Avenue, Philadelphia, PA, USA",39.968301,-75.23486,doubt
Monumental Baptist Church / First Reformed Church,West,,,4948 Locust St.,Philadelphia,PA,19139,church,1923-1925,1923-1925,,Stuckert & Co.,,,dream130,,"4948 Locust St, Philadelphia, PA, USA",39.955048,-75.221354,success
"United Mission Church / Pennsylvania Railroad Branch, YMCA / Second Antioch Baptist Church",West,,,907 N. 41st St.,Philadelphia,PA,19104,church,1892,1892,,T. P. Lonsdale,,,dream131,,"North 41st Street, Philadelphia, PA, USA",39.976197,-75.206385,doubt
White Rock Baptist Church / St. Matthew M.E. Church,West,,,5240-5244 Chestnut St.,Philadelphia,PA,19139,church,1889-1890; 1899; 1908,1889-1890; 1899; 1908,,T. P. Lonsdale,,,dream132,,"Chestnut Street, Philadelphia, PA, USA",39.957881,-75.220335,doubt
St. Michael and All Angels Chapel / Bethany Baptist Church / Victory Baptist Church,West,,,4238 Wallace St.,Philadelphia,PA,19104,church,1889; 1920,1889; 1920,,William Camac; John E. Bullock,,,dream133,,"4238-40 Wallace St, Philadelphia, PA, USA",39.963341,-75.20862,success